ВРЕМЯ,СУММА,КАТЕГОРИЯ
2017-04-28 01:58:00,-205.0,Еда
2017-04-28 22:43:00,-153.0,Еда
2017-04-28 22:43:00,-600.0,Интернет и телефон
2017-04-29 13:59:00,-265.0,Еда
2017-04-29 13:59:00,-5000.0,Путешествия
2017-04-29 14:43:00,-545.0,Путешествия
2017-04-29 14:43:00,50000.0,Доходы
2017-04-29 14:49:00,-65170.0,Путешествия
2017-04-29 17:30:00,-700.0,Путешествия
2017-04-29 18:54:00,-912.0,Путешествия
2017-04-30 07:15:00,-480.0,Путешествия
2017-04-30 08:16:00,-300.0,Путешествия
2017-04-30 13:43:00,-26700.0,Путешествия
2017-04-30 13:43:00,-100.0,Путешествия
2017-04-30 17:20:00,-600.0,Путешествия
2017-05-01 07:52:00,-1300.0,Путешествия
2017-05-01 10:53:00,-2500.0,Путешествия
2017-05-01 10:54:00,-50.0,Путешествия
2017-05-01 16:30:00,-600.0,Путешествия
2017-05-01 20:39:00,-342.0,Путешествия
2017-05-02 15:00:00,-300.0,Путешествия
2017-05-02 15:00:00,-150.0,Путешествия
2017-05-02 15:00:00,-1140.0,Путешествия
2017-05-02 15:00:00,-135.0,Путешествия
2017-05-03 12:21:00,-1130.0,Путешествия
2017-05-03 12:21:00,-1050.0,Путешествия
2017-05-03 13:00:00,-100.0,Путешествия
2017-05-03 15:04:00,-375.0,Путешествия
2017-05-03 17:03:00,-520.0,Путешествия
2017-05-04 16:36:00,-800.0,Путешествия
2017-05-04 16:36:00,-780.0,Путешествия
2017-05-04 16:38:00,-1300.0,Путешествия
2017-05-04 16:39:00,-680.0,Путешествия
2017-05-04 16:39:00,-260.0,Путешествия
2017-05-04 16:39:00,-350.0,Путешествия
2017-05-04 16:39:00,-1000.0,Путешествия
2017-05-05 08:15:00,-525.0,Путешествия
2017-05-05 08:15:00,-800.0,Путешествия
2017-05-05 08:15:00,-325.0,Путешествия
2017-05-05 08:15:00,-660.0,Путешествия
2017-05-05 08:15:00,-500.0,Путешествия
2017-05-05 08:15:00,-1000.0,Путешествия
