DummyRand;168700;320000;517800;682300;853800;1.0544e+06;1.2635e+06;1.9564e+06;2.2406e+06;2.4263e+06
SmartRand;234000;465500;738000;1.0516e+06;1.186e+06;1.4244e+06;1.6849e+06;1.9252e+06;1.5728e+06;1.7831e+06
