Heap;0.00462203;0.0108714;0.0186966;0.0248391;0.0411647;0.0443;0.0487369;0.0563786;0.0636291;0.0724081;0.0789476;0.0890676;0.110435;0.111987;0.119456;0.128241;0.138093;0.159523;0.152938;0.163814
Quick;0.0032874;0.00482686;0.00730561;0.0109511;0.0122757;0.0161737;0.0186675;0.0265933;0.0240102;0.0271444;0.0301322;0.0332221;0.0365355;0.038971;0.0447204;0.0475705;0.0503677;0.0667328;0.0677892;0.061001
Selection;0.0224331;0.0920814;0.186081;0.320483;0.493732;0.772993;1.03497;1.82002;2.18362;2.72704;3.53074;4.01678;4.35323;3.96257;4.99782;5.85469;6.06327;6.9047;8.05491;8.59789
Size;200;400;600;800;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000;3200;3400;3600;3800;4000
